#t,ms p
4.90779 6.711790678709393251e+04
4.91007 6.713953172457321489e+04
4.91293 6.715897610728336440e+04
4.91521 6.716811168240313418e+04
4.91807 6.717094820662125130e+04
4.92035 6.716571495630820573e+04
4.92263 6.715345218493786524e+04
4.92549 6.712859537096263375e+04
4.92777 6.710169592702087539e+04
4.93005 6.706929164236572979e+04
4.93291 6.702226652162645769e+04
4.93521 6.698078867433787673e+04
4.93806 6.692622258659134968e+04
4.94035 6.688202796219805896e+04
4.94263 6.683901732660651032e+04
4.94548 6.678957839162445453e+04
4.94777 6.675573136640449229e+04
4.95006 6.672936585096034105e+04
4.95293 6.670935564265461289e+04
4.95521 6.670398593646002701e+04
4.95807 6.670903463220327103e+04
4.96036 6.672174847545118246e+04
4.96264 6.674164893468537775e+04
4.9655 6.677553402866904798e+04
4.96779 6.680898366898200766e+04
4.97008 6.684670061333266494e+04
4.97293 6.689760065807783394e+04
4.97521 6.693958932853834995e+04
4.97806 6.699111094377387781e+04
4.98035 6.702985719155539118e+04
4.98265 6.706548296353046317e+04
4.98552 6.710399914522637846e+04
4.98781 6.712951924794928345e+04
4.9901 6.715021878658054629e+04
4.99295 6.716951959079498192e+04
4.99524 6.717977823641398572e+04
4.99752 6.718495551827078452e+04
5.00038 6.718360920714351232e+04
5.00267 6.717575796326933778e+04
5.00553 6.715702312047440500e+04
5.00781 6.713489168910939770e+04
5.01009 6.710673855434652069e+04
5.01295 6.706416776842586114e+04
5.01524 6.702537850734579843e+04
5.01753 6.698340995169810776e+04
5.0204 6.692836195743652934e+04
5.02269 6.688383565192406240e+04
5.02554 6.682937229437845235e+04
5.02783 6.678832270974172570e+04
5.03011 6.675104224251891719e+04
5.03297 6.671231917749870627e+04
5.03527 6.668983252389376867e+04
5.03756 6.667638391278307245e+04
5.04042 6.667201464775850764e+04
5.0427 6.667701615077520546e+04
5.04556 6.669282468028078438e+04
5.04785 6.671231028202222660e+04
5.05014 6.673710905495587212e+04
5.05301 6.677370014440185332e+04
5.0553 6.680580892149539432e+04
5.05758 6.683863461186744098e+04
5.06043 6.687895770940695365e+04
5.06272 6.690958119776945387e+04
5.06501 6.693775575097721594e+04
5.06787 6.696897981307236478e+04
5.07017 6.699042340876003436e+04
5.07304 6.701228214216657216e+04
5.07533 6.702574190531391650e+04
5.07761 6.703534562042224570e+04
5.08047 6.704100392128212843e+04
5.08276 6.703971479336032644e+04
5.08505 6.703281012946604460e+04
5.08791 6.701572485440451419e+04
5.0902 6.699519121805284522e+04
5.09306 6.696136670592054725e+04
5.09534 6.692816164223372471e+04
5.09763 6.689018788990870235e+04
5.10049 6.683746761728127603e+04
5.10278 6.679212941499133012e+04
5.10508 6.674506213991658296e+04
5.10795 6.668544021302140027e+04
5.11023 6.663852414846724423e+04
5.11252 6.659343018769446644e+04
5.11538 6.654115253422597016e+04
5.11766 6.650407111795269884e+04
5.12053 6.646553989251417806e+04
5.12283 6.644235266544348269e+04
