#t,ms massf-Ar
3.0777 9.959178573880986818e-01
3.08047 9.959051856646540246e-01
3.08269 9.958949786625007627e-01
3.08549 9.958821379417915898e-01
3.08772 9.958718731038997962e-01
3.0905 9.958591016767521786e-01
3.09272 9.958488826093241375e-01
3.09548 9.958361687993143585e-01
3.09769 9.958259913252102136e-01
3.10047 9.958132055747268563e-01
3.10269 9.958029530580526645e-01
3.10547 9.957900890394755233e-01
3.1077 9.957797687492000449e-01
3.11048 9.957669132620535768e-01
3.11269 9.957566965296238415e-01
3.11546 9.957439170001323170e-01
3.11768 9.957336466897586114e-01
3.12046 9.957208263912378232e-01
3.1227 9.957105100764296335e-01
3.1255 9.956976446205435538e-01
3.12772 9.956874774916955051e-01
3.13049 9.956748625751810078e-01
3.1327 9.956647890127237055e-01
3.13549 9.956522154501915578e-01
3.13771 9.956421927331808863e-01
3.14049 9.956296955088549394e-01
3.14272 9.956197212962552001e-01
3.14549 9.956073371102601710e-01
3.1477 9.955974440938034631e-01
3.15048 9.955850566013757508e-01
3.1527 9.955751485549166890e-01
3.15548 9.955627582147977828e-01
3.15771 9.955528459670512920e-01
3.16049 9.955404869055923811e-01
3.16271 9.955306345992245287e-01
3.16549 9.955183323311661558e-01
3.16771 9.955084914402053675e-01
3.17049 9.954962161102591800e-01
3.17273 9.954863683316762524e-01
3.17552 9.954740899170512192e-01
3.17775 9.954643532525554450e-01
3.18052 9.954522395468587970e-01
3.18274 9.954425370634525372e-01
3.18553 9.954303816355013490e-01
3.18776 9.954206683528358246e-01
3.19054 9.954085554448818263e-01
3.19277 9.953988659303193431e-01
3.195 9.953891324905426163e-01
3.1978 9.953769677616012279e-01
3.20002 9.953672858903701570e-01
3.2028 9.953552171599764353e-01
3.20502 9.953455646948836666e-01
3.20781 9.953335057258637653e-01
3.21003 9.953238866502539528e-01
3.21281 9.953119253180039427e-01
3.21503 9.953023868444141886e-01
3.21781 9.952904695433589799e-01
3.22004 9.952809696028458442e-01
3.22282 9.952691385475422869e-01
3.22505 9.952597054813561162e-01
3.22784 9.952479255725276142e-01
3.23007 9.952385135937209526e-01
3.23286 9.952267884582917112e-01
3.23509 9.952174445385064683e-01
3.23788 9.952057977626919127e-01
3.24011 9.951965113440151001e-01
3.24289 9.951849375588497360e-01
3.24512 9.951757125139336635e-01
3.2479 9.951642177652021415e-01
3.25014 9.951550226965336643e-01
3.25294 9.951435543901928638e-01
3.25517 9.951344338304642934e-01
3.25795 9.951231074693224210e-01
3.26018 9.951140779549089155e-01
3.26298 9.951028067077808403e-01
3.26521 9.950938194626792743e-01
3.268 9.950826096494505002e-01
3.27024 9.950736549227084948e-01
3.27303 9.950624937490957223e-01
3.27525 9.950535702858106513e-01
3.27804 9.950423909555946578e-01
3.28028 9.950334279536923177e-01
3.28251 9.950244609109913929e-01
3.2853 9.950132624916824264e-01
3.28753 9.950042922586521676e-01
3.29031 9.949930526053198943e-01
3.29255 9.949840516958082803e-01
3.29533 9.949727997510463551e-01
3.29756 9.949637962761775922e-01
3.30036 9.949525010157493909e-01
3.3026 9.949434406676986864e-01
3.3054 9.949321343250209226e-01
3.30763 9.949231146979355955e-01
3.31042 9.949118371311428399e-01
3.31266 9.949028140671672960e-01
3.31545 9.948915295887689192e-01
3.31769 9.948824524003611058e-01
3.32049 9.948711009926325399e-01
3.32273 9.948620495037725497e-01
3.32552 9.948507548108064258e-01
3.32775 9.948417223569144818e-01
3.33055 9.948304398957615868e-01
3.33278 9.948214300360334050e-01
3.33502 9.948124415700203560e-01
3.33781 9.948012340504854834e-01
3.34005 9.947922906171681179e-01
3.34284 9.947811468355970410e-01
3.34507 9.947722682426199947e-01
3.34786 9.947612106250434127e-01
3.3501 9.947523788297838454e-01
3.3529 9.947413513088765313e-01
3.35514 9.947325559745097134e-01
3.35794 9.947215996778331348e-01
3.36017 9.947128560606303127e-01
3.36297 9.947019677475446020e-01
3.3652 9.946932785249792408e-01
3.368 9.946824195617104403e-01
3.37024 9.946737469616812044e-01
3.37304 9.946629488698588428e-01
3.37527 9.946543418388975599e-01
3.37751 9.946457531041386080e-01
3.3803 9.946350409807924731e-01
3.38254 9.946264975900316330e-01
3.38534 9.946158419480998214e-01
3.38758 9.946073460139062128e-01
3.39038 9.945967582281695085e-01
3.39262 9.945883126408925357e-01
3.39541 9.945777924102581213e-01
3.39765 9.945693995905952045e-01
3.40045 9.945589185334110516e-01
3.40269 9.945505345586873602e-01
3.40548 9.945400621190263468e-01
3.40772 9.945316871894313016e-01
3.41052 9.945212210372617045e-01
3.41276 9.945128436657092452e-01
3.41501 9.945044661241954076e-01
3.41781 9.944939968083762460e-01
3.42005 9.944856235246106735e-01
3.42284 9.944751658196552269e-01
3.42508 9.944668121863905474e-01
3.42788 9.944563743127436961e-01
3.43011 9.944480230587713354e-01
3.43291 9.944375905239358771e-01
3.43515 9.944292348743128951e-01
