# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-He 17:massf[1]-N2 18:massf[2]-O2 19:massf[3]-N 20:massf[4]-O 21:massf[5]-NO 22:dt_chem 23:u 24:T
-7.774999999999983313e-02 2.499999999999999445e-02 0.000000000000000000e+00 2.750000000000031065e-04 1.472552577809595198e-01 8.722690220693697256e+02 1.656658646298447497e-13 0.000000000000000000e+00 1.110960356380317680e+05 1.121342417110604174e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.166818365159712848e+05 3.631896799729228746e+02
-7.224999999999978662e-02 2.500000000000001180e-02 0.000000000000000000e+00 2.749999999999918308e-04 1.472311517444293560e-01 8.747801228434983614e+02 2.227563539448325608e-13 0.000000000000000000e+00 1.110657267409583728e+05 1.121281227950049924e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.168053383484234801e+05 3.631500441489976083e+02
-6.675000000000015643e-02 2.499999999999999098e-02 0.000000000000000000e+00 2.749999999999809888e-04 1.472071043829282222e-01 8.772903459422385595e+02 3.011767076912342346e-13 0.000000000000000000e+00 1.110354949444773229e+05 1.121220181231057268e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.169285459664535592e+05 3.631105027482141168e+02
-6.125000000000017236e-02 2.499999999999999445e-02 0.000000000000000000e+00 2.750000000000031065e-04 1.471831037518404051e-01 8.797997846919198537e+02 2.921405054793249459e-13 0.000000000000000000e+00 1.110053248640344827e+05 1.121159244922722792e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.170515240581573453e+05 3.630710350100223422e+02
-5.575000000000011890e-02 2.500000000000002220e-02 0.000000000000000000e+00 2.750000000000139486e-04 1.471591092431726033e-01 8.823087492323575134e+02 2.947839212916854235e-13 0.000000000000000000e+00 1.109751652888190001e+05 1.121098315166105749e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.171744822448254563e+05 3.630315736600149989e+02
-5.025000000000004463e-02 2.500000000000001180e-02 0.000000000000000000e+00 2.749999999999918308e-04 1.471350755033180302e-01 8.848175842943395537e+02 2.214608062432493029e-13 0.000000000000000000e+00 1.109449594062272809e+05 1.121037277721722376e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.172976510487211635e+05 3.629920447159714172e+02
-4.475000000000017852e-02 2.500000000000001874e-02 0.000000000000000000e+00 2.749999999999918308e-04 1.471109767007105495e-01 8.873264851285550776e+02 2.305939103824987815e-13 0.000000000000000000e+00 1.109146751516151999e+05 1.120976068856320126e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.174211590325656580e+05 3.629524069178607988e+02
-3.925000000000015282e-02 2.500000000000000486e-02 0.000000000000000000e+00 2.750000000000141654e-04 1.470868135204716487e-01 8.898354454069918802e+02 -1.266721232968931984e-13 0.000000000000000000e+00 1.108843136444889969e+05 1.120914691425849014e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.175450003774020588e+05 3.629126621331791398e+02
-3.374999999999993977e-02 2.499999999999999445e-02 0.000000000000000000e+00 2.750000000000031065e-04 1.470625998369060883e-01 8.923443598881133312e+02 -7.021102406314364857e-14 0.000000000000000000e+00 1.108538922407201317e+05 1.120853180111672827e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.176691050564732286e+05 3.628728328358296267e+02
-2.825000000000000427e-02 2.500000000000001180e-02 0.000000000000000000e+00 2.749999999999918308e-04 1.470383439404056858e-01 8.948531669355463691e+02 -1.363608952921849747e-13 0.000000000000000000e+00 1.108234211034490872e+05 1.120791554558844837e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.177934333928892738e+05 3.628329317594386225e+02
-2.275000000000015205e-02 2.499999999999999445e-02 0.000000000000000000e+00 2.749999999999920477e-04 1.470140418649619474e-01 8.973618976622987020e+02 -4.307423617888274329e-14 0.000000000000000000e+00 1.107928951368946873e+05 1.120729803984273985e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.179180071015121066e+05 3.627929519349886505e+02
-1.725000000000021308e-02 2.500000000000000486e-02 0.000000000000000000e+00 2.750000000000029981e-04 1.469896851094846524e-01 8.998706165281079166e+02 -1.764061836793544548e-13 0.000000000000000000e+00 1.107623037877799070e+05 1.120667907267616556e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.180428687446570839e+05 3.627528797028246004e+02
-1.175000000000003646e-02 2.500000000000000139e-02 0.000000000000000000e+00 2.750000000000141654e-04 1.469652699686270492e-01 9.023793511692141465e+02 -1.828376825662158146e-13 0.000000000000000000e+00 1.107316425710985204e+05 1.120605855677004456e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.181680358864457812e+05 3.627127094260387139e+02
-6.249999999999977796e-03 2.500000000000000139e-02 0.000000000000000000e+00 2.749999999999919393e-04 1.469407978791230640e-01 9.048880907113968988e+02 -2.051046700693447705e-13 0.000000000000000000e+00 1.107009133154784213e+05 1.120543652814026473e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.182935012106564245e+05 3.626724434526487357e+02
-7.500000000001393356e-04 2.500000000000000139e-02 0.000000000000000000e+00 2.749999999999919393e-04 1.469162699392563554e-01 9.073968273384274426e+02 -1.892381699059809554e-13 0.000000000000000000e+00 1.106701173351634352e+05 1.120481300972188592e+03 3.942699047786300175e-05 3.079920815511358878e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.184192600407827995e+05 3.626320832835002079e+02
4.749999999999920952e-03 2.500000000000000139e-02 0.000000000000000000e+00 2.750000000000141654e-04 1.468916845889476352e-01 9.099055732050929919e+02 -1.219232859517138882e-13 0.000000000000000000e+00 1.106392526707164361e+05 1.120418796010963661e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.185453206770865363e+05 3.625916262547644351e+02
1.025000000000009411e-02 2.500000000000000139e-02 0.000000000000000000e+00 2.750000000000029981e-04 1.468670399568920704e-01 9.124143424723353064e+02 -7.416595024288167541e-14 0.000000000000000000e+00 1.106083170431171311e+05 1.120356133351619064e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.186716923015463981e+05 3.625510694196407258e+02
1.575000000000003481e-02 2.500000000000000139e-02 0.000000000000000000e+00 2.749999999999919393e-04 1.468423355729356616e-01 9.149231387330385132e+02 9.511762149004725606e-14 0.000000000000000000e+00 1.105773099053362239e+05 1.120293311836538578e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.187983771951663657e+05 3.625104120460794661e+02
2.124999999999988010e-02 2.499999999999999445e-02 0.000000000000000000e+00 2.749999999999920477e-04 1.468175713284623485e-01 9.174319630347407610e+02 1.706499462293598638e-13 0.000000000000000000e+00 1.105462311224266596e+05 1.120230331014489138e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.189253762139294413e+05 3.624696538593673836e+02
2.674999999999982947e-02 2.500000000000001527e-02 0.000000000000000000e+00 2.750000000000028897e-04 1.467927465463282344e-01 9.199408206846732128e+02 2.643240004442493188e-13 0.000000000000000000e+00 1.105150798627628392e+05 1.120167189071693429e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.190526929607772036e+05 3.624287937032013929e+02
3.225000000000001477e-02 2.499999999999999445e-02 0.000000000000000000e+00 2.750000000000141654e-04 1.467678605195265884e-01 9.224497171075061033e+02 2.994278574673104650e-13 0.000000000000000000e+00 1.104838552784474450e+05 1.120103884222605529e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.191803309807672049e+05 3.623878304398551222e+02
3.775000000000008210e-02 2.500000000000000486e-02 0.000000000000000000e+00 2.749999999999918308e-04 1.467429128793843185e-01 9.249586552042785570e+02 4.710101677439555405e-13 0.000000000000000000e+00 1.104525569336043845e+05 1.120040415476244789e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.193082922160986927e+05 3.623467634460125737e+02
4.324999999999991351e-02 2.500000000000001180e-02 0.000000000000000000e+00 2.749999999999918308e-04 1.467179032563680485e-01 9.274676379166471634e+02 4.254889160951936309e-13 0.000000000000000000e+00 1.104211843847120908e+05 1.119976781804150050e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.194365786839353386e+05 3.623055920742992839e+02
4.874999999999991840e-02 2.499999999999998404e-02 0.000000000000000000e+00 2.750000000000143822e-04 1.466928311997584000e-01 9.299766687587781462e+02 2.378737472557563425e-13 0.000000000000000000e+00 1.103897370957060339e+05 1.119912982016297292e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.195651927265064442e+05 3.622643155730163471e+02
5.425000000000006900e-02 2.499999999999999445e-02 0.000000000000000000e+00 2.750000000000031065e-04 1.466676963504473796e-01 9.324857505456722038e+02 2.409069105595288102e-13 0.000000000000000000e+00 1.103582146448651329e+05 1.119849015150731248e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.196941362256218563e+05 3.622229333382286427e+02
5.975000000000018491e-02 2.500000000000001180e-02 0.000000000000000000e+00 2.749999999999918308e-04 1.466424983910217250e-01 9.349948857907102138e+02 2.713431275480034328e-14 0.000000000000000000e+00 1.103266166592437366e+05 1.119784880331852037e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.198234108884402085e+05 3.621814448220526970e+02
6.524999999999987754e-02 2.500000000000001874e-02 0.000000000000000000e+00 2.749999999999918308e-04 1.466172369925601848e-01 9.375040770785041104e+02 5.736725902656973839e-14 0.000000000000000000e+00 1.102949427545741491e+05 1.119720576668695912e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.199530184525286313e+05 3.621398494668454759e+02
7.074999999999996569e-02 2.499999999999999792e-02 0.000000000000000000e+00 2.750000000000031065e-04 1.465919118625002848e-01 9.400133267148434015e+02 -6.984297421954178525e-14 0.000000000000000000e+00 1.102631925920495560e+05 1.119656103360380939e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.200829604733412270e+05 3.620981467734104626e+02
7.625000000000003997e-02 2.500000000000002220e-02 0.000000000000000000e+00 2.750000000000139486e-04 1.465665227279380756e-01 9.425226368577492622e+02 6.226840686491906742e-14 0.000000000000000000e+00 1.102313658567850216e+05 1.119591459650683646e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.202132384158046916e+05 3.620563362716042093e+02
8.174999999999996159e-02 2.499999999999997016e-02 0.000000000000000000e+00 2.749999999999922645e-04 1.465410693252167940e-01 9.450320095865525900e+02 3.810874078944844967e-14 0.000000000000000000e+00 1.101994622467910085e+05 1.119526644811887763e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.203438536868914380e+05 3.620144175098825485e+02
8.724999999999996647e-02 2.499999999999997710e-02 0.000000000000000000e+00 2.749999999999922645e-04 1.465155514114522828e-01 9.475414468227417046e+02 1.618789969945984969e-13 0.000000000000000000e+00 1.101674814856363373e+05 1.119461658165137351e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.204748075946237659e+05 3.619723900684581963e+02
9.274999999999997136e-02 2.500000000000002914e-02 0.000000000000000000e+00 2.750000000000139486e-04 1.464899687539267248e-01 9.500509504057876029e+02 -1.283068278807501321e-13 0.000000000000000000e+00 1.101354233101909631e+05 1.119396499058764675e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.206061013917613891e+05 3.619302535452787311e+02
9.825000000000023992e-02 2.500000000000003608e-02 0.000000000000000000e+00 2.750000000000026729e-04 1.464643211335489303e-01 9.525605220690783881e+02 -3.693795265393792515e-15 0.000000000000000000e+00 1.101032874744689761e+05 1.119331166874652581e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.207377362630038406e+05 3.618880075601350654e+02
1.037499999999999534e-01 2.499999999999997016e-02 0.000000000000000000e+00 2.749999999999922645e-04 1.464386083418464379e-01 9.550701634619664446e+02 -1.851615930821438718e-13 0.000000000000000000e+00 1.100710737460393721e+05 1.119265661021542883e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.208697133384859189e+05 3.618456517503295800e+02
1.092500000000001248e-01 2.500000000000004996e-02 0.000000000000000000e+00 2.749999999999913972e-04 1.464128301806734422e-01 9.575798761522891027e+02 -2.794251869270229358e-13 0.000000000000000000e+00 1.100387819055902801e+05 1.119199980933986126e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.210020336959069828e+05 3.618031857699928651e+02
1.147499999999996301e-01 2.499999999999995628e-02 0.000000000000000000e+00 2.750000000000035402e-04 1.463869864611530847e-01 9.600896616343420646e+02 -4.500477945331749216e-13 0.000000000000000000e+00 1.100064117456159001e+05 1.119134126069753620e+03 1.813928062146993983e-05 2.576041171715383674e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.023819630265644613e-06 -4.211346983657581732e+05 3.617606092884062150e+02
