#t,ms p
2.19514 0.427
2.19787 0.427
2.20005 0.427
2.20272 0.427
2.20539 0.427
2.20753 0.427
2.21021 0.427
2.2129 0.427
2.21505 0.427
2.21773 0.427
2.22041 0.427
2.22257 0.427
2.22528 0.427
2.22797 0.427
2.23011 0.427
2.23279 0.427
2.23547 0.427
2.23763 0.427
2.24034 0.427
2.2425 0.427
2.24521 0.427
2.24791 0.427
2.25005 0.427
2.25272 0.427
2.2554 0.427
2.25754 0.427
2.26025 0.427
2.26297 0.427
2.26513 0.427
2.26782 0.427
2.2705 0.427
2.27264 0.427
2.27532 0.427
2.27801 0.427
2.28017 0.427
2.2829 0.427
2.28508 0.427
2.28777 0.427
2.29045 0.427
2.29259 0.427
2.29527 0.427
2.29797 0.427
2.30014 0.427
2.30283 0.427
2.30552 0.427
2.30767 0.427
2.31036 0.427
2.31252 0.427
2.31523 0.427
2.31794 0.427
2.3201 0.427
2.32281 0.427
2.32552 0.427
2.32767 0.427
2.3304 0.427
2.33259 0.427
2.33532 0.427
2.33802 0.427
2.34019 0.427
2.3429 0.427
2.34507 0.427
2.34778 0.427
2.35049 0.427
2.35264 0.427
2.35534 0.427
2.35803 0.427
2.36018 0.427
2.36288 0.427
2.36503 0.427
2.36775 0.427
2.37051 0.427
2.3727 0.427
2.3754 0.427
2.37756 0.427
2.38029 0.427
2.38301 0.427
2.38521 0.427
2.38795 0.427
2.39012 0.427
2.39282 0.427
2.39501 0.427
2.39777 0.427
2.40051 0.427
2.40267 0.427
2.40538 0.427
2.40755 0.427
2.41027 0.427
2.41298 0.427
2.41515 0.427
2.41786 0.427
2.42003 0.427
2.42276 0.427
2.4255 0.427
2.42768 0.427
2.43039 0.427
2.43256 0.427
2.4353 0.427
2.43805 0.427
2.44024 0.427
2.44299 0.427
2.44516 0.427
2.44787 0.427
2.45007 0.427
2.45283 0.427
2.45502 0.427
2.45773 0.427
2.46047 0.427
2.46268 0.427
2.46544 0.427
2.46762 0.427
2.47035 0.427
2.47255 0.427
2.4753 0.427
2.47804 0.427
2.48023 0.427
2.48296 0.427
2.48515 0.427
2.48788 0.427
2.49007 0.427
2.49282 0.427
2.49502 0.427
2.49777 0.427
2.50051 0.427
2.5027 0.427
2.50543 0.427
2.50761 0.427
2.51033 0.427
2.51252 0.427
2.51525 0.427
2.51799 0.427
2.52018 0.427
2.52293 0.427
2.52512 0.427
2.52787 0.427
2.53007 0.427
2.5328 0.427
2.53554 0.427
2.53771 0.427
2.54043 0.427
2.54261 0.427
2.54534 0.427
2.54752 0.427
2.55023 0.427
2.55296 0.427
2.55515 0.427
2.5579 0.427
2.56008 0.427
2.5628 0.427
2.56553 0.427
2.5677 0.427
2.57042 0.427
2.5726 0.427
2.57532 0.427
2.57751 0.427
2.58024 0.427
