#t,ms massf-Ar+
3.67056 1.401828459446551045e-03
3.67281 1.406598666734378434e-03
3.67507 1.411247494237658417e-03
3.67788 1.416843555768487316e-03
3.68014 1.421189935470271778e-03
3.68296 1.426588246123947513e-03
3.68522 1.430970271193308854e-03
3.68804 1.436437385607730252e-03
3.69029 1.440605799807366137e-03
3.69254 1.444550292219502893e-03
3.69537 1.449174377557399095e-03
3.69762 1.452670746528228430e-03
3.70044 1.456856575044241688e-03
3.70269 1.460119316889369303e-03
3.70551 1.464067603821261323e-03
3.70777 1.467022345053236101e-03
3.71002 1.469706748374702797e-03
3.71284 1.472669354066911875e-03
3.7151 1.474791829697159537e-03
3.71792 1.477275985192934077e-03
3.72017 1.479152854195614052e-03
3.723 1.481386571142746496e-03
3.72526 1.483060385990844993e-03
3.72751 1.484610657582392107e-03
3.73033 1.486340095677724264e-03
3.73259 1.487570261483768573e-03
3.73542 1.488933026772570282e-03
3.73767 1.489923100399388441e-03
3.74049 1.491111140369394319e-03
3.74274 1.492105907427034635e-03
3.74501 1.493175495061536918e-03
3.74785 1.494563662262703846e-03
3.7501 1.495596722891120306e-03
3.75292 1.496698403842118465e-03
3.75518 1.497431645105621505e-03
3.758 1.498195425865442429e-03
3.76026 1.498726442095266783e-03
3.76251 1.499232738416875037e-03
3.76533 1.499874650694561816e-03
3.76758 1.500271393924904485e-03
3.7704 1.500540513537403434e-03
3.77266 1.500624373791753507e-03
3.77548 1.500688278713925876e-03
3.77773 1.500732108621240972e-03
3.78055 1.500809764636893383e-03
3.78281 1.500880853958900998e-03
3.78508 1.500943114821519939e-03
3.7879 1.500959027500752170e-03
3.79016 1.500915195861099493e-03
3.79297 1.500843582651016596e-03
3.79523 1.500794979912166774e-03
3.79805 1.500769399202500805e-03
3.80031 1.500801628970415205e-03
3.80257 1.500901382977676496e-03
3.80539 1.501147604749244807e-03
3.80765 1.501447068315980632e-03
3.81047 1.501968794844338794e-03
3.81273 1.502504951877110763e-03
3.81555 1.503278883874795656e-03
3.81781 1.503922457771648263e-03
3.82006 1.504552588611109219e-03
3.82288 1.505329065801042912e-03
3.82514 1.505974135964131648e-03
3.82796 1.506815790121987476e-03
3.83022 1.507473153566526308e-03
3.83305 1.508272902537973565e-03
3.8353 1.508923230987909911e-03
3.83756 1.509597677722678650e-03
3.84038 1.510492756277638819e-03
3.84263 1.511253885538245759e-03
3.84546 1.512247417711306717e-03
3.84772 1.513048177826552005e-03
3.85054 1.514025837867919366e-03
3.8528 1.514776102060062021e-03
3.85506 1.515506577925660684e-03
3.85789 1.516443722584849725e-03
3.86014 1.517225849987850804e-03
3.86297 1.518256181747903348e-03
3.86524 1.519124902584293932e-03
3.86806 1.520265740504773413e-03
3.87032 1.521220523637227106e-03
3.87258 1.522209153104838331e-03
3.8754 1.523488318263762275e-03
3.87766 1.524535288747321232e-03
3.88049 1.525862052378395249e-03
3.88276 1.526927433099291428e-03
3.88502 1.527974564492414703e-03
3.88784 1.529235113264687659e-03
3.8901 1.530195665640444276e-03
3.89292 1.531324984953510819e-03
3.89518 1.532166432965777550e-03
3.89801 1.533140291760605369e-03
3.90028 1.533852363287628324e-03
3.90254 1.534508191438121181e-03
3.90537 1.535256570141580899e-03
3.90763 1.535798116749835605e-03
3.91045 1.536401104788260490e-03
3.91271 1.536816612740306504e-03
3.91555 1.537231561636960694e-03
3.91782 1.537465657828767816e-03
3.92009 1.537609531936600347e-03
3.92294 1.537691015421551941e-03
3.92519 1.537708972074736937e-03
3.92801 1.537684464627198794e-03
3.93028 1.537634363230188945e-03
3.93255 1.537561504254603790e-03
3.9354 1.537441247999149713e-03
3.93768 1.537323363979769663e-03
3.94054 1.537152622379755768e-03
3.9428 1.537004711775523738e-03
3.94506 1.536855172717474169e-03
3.94789 1.536937518688926601e-03
3.95015 1.537088187831967033e-03
3.95299 1.537171471681970545e-03
3.95527 1.537272100547713068e-03
3.95754 1.537368806424241514e-03
3.96037 1.537482628130937843e-03
3.96263 1.537582408732255301e-03
3.96546 1.537722216206517580e-03
3.96772 1.537804574074093204e-03
3.97055 1.537845519105814898e-03
3.97282 1.537860692227415631e-03
3.97509 1.537875503371520210e-03
3.97793 1.537893548632439855e-03
3.9802 1.537903712560490833e-03
3.98302 1.537902406015446153e-03
3.98528 1.537882540831122039e-03
3.98755 1.537842638684699297e-03
3.99038 1.537785385134695032e-03
3.99265 1.537759872635652844e-03
3.99549 1.537766994584681846e-03
3.99776 1.537813232956710850e-03
4.00002 1.537902273377896121e-03
4.00284 1.538082938530273757e-03
4.00511 1.538291133436509679e-03
4.00793 1.538645094413113338e-03
4.0102 1.539007563152237305e-03
4.01303 1.539589811697906867e-03
4.0153 1.540169464826075720e-03
4.01756 1.540841077718456496e-03
4.02039 1.541794202184596299e-03
4.02266 1.542603459884519168e-03
4.02548 1.543649804230003359e-03
4.02775 1.544510092885596590e-03
4.03001 1.545390388413896750e-03
4.03285 1.546529822292815699e-03
4.03512 1.547499384449393250e-03
4.03795 1.548809136600845602e-03
4.04021 1.549917942866289432e-03
4.04304 1.551317748375259306e-03
4.04531 1.552458543362296179e-03
